timeindex,ghi-profile,tp-profile
2022-01-01T00:00:00Z,1e-10,1e-10
2022-01-01T01:00:00Z,1e-10,1e-10
2022-01-01T02:00:00Z,1e-10,1e-10
2022-01-01T03:00:00Z,1e-10,1e-10
2022-01-01T04:00:00Z,1e-10,1e-10
2022-01-01T05:00:00Z,1e-10,1e-10
2022-01-01T06:00:00Z,1e-10,1e-10
2022-01-01T07:00:00Z,1e-10,1e-10
2022-01-01T08:00:00Z,7.09938,1e-10
2022-01-01T09:00:00Z,131.8208,1e-10
2022-01-01T10:00:00Z,318.49188,1e-10
2022-01-01T11:00:00Z,479.39014,1e-10
2022-01-01T12:00:00Z,587.8257,1e-10
2022-01-01T13:00:00Z,635.40265,1e-10
2022-01-01T14:00:00Z,614.18353,1e-10
2022-01-01T15:00:00Z,527.4098,1e-10
2022-01-01T16:00:00Z,384.07816,1e-10
2022-01-01T17:00:00Z,202.34027,1e-10
2022-01-01T18:00:00Z,35.51271,1e-10
2022-01-01T19:00:00Z,1e-10,1e-10
2022-01-01T20:00:00Z,1e-10,1e-10
2022-01-01T21:00:00Z,1e-10,1e-10
2022-01-01T22:00:00Z,1e-10,1e-10
2022-01-01T23:00:00Z,1e-10,1e-10
2022-01-02T00:00:00Z,1e-10,1e-10
2022-01-02T01:00:00Z,1e-10,1e-10
2022-01-02T02:00:00Z,1e-10,1e-10
2022-01-02T03:00:00Z,1e-10,1e-10
2022-01-02T04:00:00Z,1e-10,1e-10
2022-01-02T05:00:00Z,1e-10,1e-10
2022-01-02T06:00:00Z,1e-10,1e-10
2022-01-02T07:00:00Z,1e-10,1e-10
2022-01-02T08:00:00Z,6.95708,1e-10
2022-01-02T09:00:00Z,130.96698,1e-10
2022-01-02T10:00:00Z,317.74875,1e-10
2022-01-02T11:00:00Z,479.88028,1e-10
2022-01-02T12:00:00Z,589.94446,1e-10
2022-01-02T13:00:00Z,637.69525,1e-10
2022-01-02T14:00:00Z,615.6065,1e-10
2022-01-02T15:00:00Z,529.67084,1e-10
2022-01-02T16:00:00Z,384.50507,1e-10
2022-01-02T17:00:00Z,203.70007,1e-10
2022-01-02T18:00:00Z,36.41396,1e-10
2022-01-02T19:00:00Z,1e-10,1e-10
2022-01-02T20:00:00Z,1e-10,1e-10
2022-01-02T21:00:00Z,1e-10,1e-10
2022-01-02T22:00:00Z,1e-10,1e-10
2022-01-02T23:00:00Z,1e-10,1e-10
2022-01-03T00:00:00Z,1e-10,1e-10
2022-01-03T01:00:00Z,1e-10,1e-10
2022-01-03T02:00:00Z,1e-10,1e-10
2022-01-03T03:00:00Z,1e-10,1e-10
2022-01-03T04:00:00Z,1e-10,1e-10
2022-01-03T05:00:00Z,1e-10,1e-10
2022-01-03T06:00:00Z,1e-10,1e-10
2022-01-03T07:00:00Z,1e-10,1e-10
2022-01-03T08:00:00Z,6.7199,1e-10
2022-01-03T09:00:00Z,128.83243,1e-10
2022-01-03T10:00:00Z,314.31763,1e-10
2022-01-03T11:00:00Z,472.81253,1e-10
2022-01-03T12:00:00Z,582.2758,1e-10
2022-01-03T13:00:00Z,623.27515,1e-10
2022-01-03T14:00:00Z,605.0286,1e-10
2022-01-03T15:00:00Z,506.66504,1e-10
2022-01-03T16:00:00Z,372.58316,1e-10
2022-01-03T17:00:00Z,198.26091,1e-10
2022-01-03T18:00:00Z,36.55629,1e-10
2022-01-03T19:00:00Z,1e-10,1e-10
2022-01-03T20:00:00Z,1e-10,1e-10
2022-01-03T21:00:00Z,1e-10,1e-10
2022-01-03T22:00:00Z,1e-10,1e-10
2022-01-03T23:00:00Z,1e-10,1e-10
2022-01-04T00:00:00Z,1e-10,1e-10
2022-01-04T01:00:00Z,1e-10,1e-10
2022-01-04T02:00:00Z,1e-10,1e-10
2022-01-04T03:00:00Z,1e-10,1e-10
2022-01-04T04:00:00Z,1e-10,1e-10
2022-01-04T05:00:00Z,1e-10,1e-10
2022-01-04T06:00:00Z,1e-10,1e-10
2022-01-04T07:00:00Z,1e-10,1e-10
2022-01-04T08:00:00Z,6.37205,1e-10
2022-01-04T09:00:00Z,123.93087,1e-10
2022-01-04T10:00:00Z,304.59354,1e-10
2022-01-04T11:00:00Z,465.33368,1e-10
2022-01-04T12:00:00Z,572.53595,1e-10
2022-01-04T13:00:00Z,595.0832,1e-10
2022-01-04T14:00:00Z,575.72986,1e-10
2022-01-04T15:00:00Z,496.08713,1e-10
2022-01-04T16:00:00Z,333.33893,1e-10
2022-01-04T17:00:00Z,177.53198,1e-10
2022-01-04T18:00:00Z,33.20423,1e-10
2022-01-04T19:00:00Z,1e-10,1e-10
2022-01-04T20:00:00Z,1e-10,1e-10
2022-01-04T21:00:00Z,1e-10,1e-10
2022-01-04T22:00:00Z,1e-10,1e-10
2022-01-04T23:00:00Z,1e-10,1e-10
2022-01-05T00:00:00Z,1e-10,1e-10
2022-01-05T01:00:00Z,1e-10,1e-10
2022-01-05T02:00:00Z,1e-10,1e-10
2022-01-05T03:00:00Z,1e-10,1e-10
2022-01-05T04:00:00Z,1e-10,1e-10
2022-01-05T05:00:00Z,1e-10,1e-10
2022-01-05T06:00:00Z,1e-10,1e-10
2022-01-05T07:00:00Z,1e-10,1e-10
2022-01-05T08:00:00Z,6.67247,1e-10
2022-01-05T09:00:00Z,131.2358,1e-10
2022-01-05T10:00:00Z,320.80035,1e-10
2022-01-05T11:00:00Z,485.30365,1e-10
2022-01-05T12:00:00Z,598.46686,1e-10
2022-01-05T13:00:00Z,647.48267,1e-10
2022-01-05T14:00:00Z,627.51263,1e-10
2022-01-05T15:00:00Z,539.9641,1e-10
2022-01-05T16:00:00Z,396.30048,1e-10
2022-01-05T17:00:00Z,213.58229,1e-10
2022-01-05T18:00:00Z,41.45785,1e-10
2022-01-05T19:00:00Z,1e-10,1e-10
2022-01-05T20:00:00Z,1e-10,1e-10
2022-01-05T21:00:00Z,1e-10,1e-10
2022-01-05T22:00:00Z,1e-10,1e-10
2022-01-05T23:00:00Z,1e-10,1e-10
2022-01-06T00:00:00Z,1e-10,1e-10
2022-01-06T01:00:00Z,1e-10,1e-10
2022-01-06T02:00:00Z,1e-10,1e-10
2022-01-06T03:00:00Z,1e-10,1e-10
2022-01-06T04:00:00Z,1e-10,1e-10
2022-01-06T05:00:00Z,1e-10,1e-10
2022-01-06T06:00:00Z,1e-10,1e-10
2022-01-06T07:00:00Z,1e-10,1e-10
2022-01-06T08:00:00Z,6.62504,1e-10
2022-01-06T09:00:00Z,131.6627,1e-10
2022-01-06T10:00:00Z,322.38153,1e-10
2022-01-06T11:00:00Z,487.21683,1e-10
2022-01-06T12:00:00Z,600.4907,1e-10
2022-01-06T13:00:00Z,648.5262,1e-10
2022-01-06T14:00:00Z,629.3468,1e-10
2022-01-06T15:00:00Z,543.3636,1e-10
2022-01-06T16:00:00Z,399.7474,1e-10
2022-01-06T17:00:00Z,216.77621,1e-10
2022-01-06T18:00:00Z,43.13389,1e-10
2022-01-06T19:00:00Z,1e-10,1e-10
2022-01-06T20:00:00Z,1e-10,1e-10
2022-01-06T21:00:00Z,1e-10,1e-10
2022-01-06T22:00:00Z,1e-10,1e-10
2022-01-06T23:00:00Z,1e-10,1e-10
2022-01-07T00:00:00Z,1e-10,1e-10
2022-01-07T01:00:00Z,1e-10,1e-10
2022-01-07T02:00:00Z,1e-10,1e-10
2022-01-07T03:00:00Z,1e-10,1e-10
2022-01-07T04:00:00Z,1e-10,1e-10
2022-01-07T05:00:00Z,1e-10,1e-10
2022-01-07T06:00:00Z,1e-10,1e-10
2022-01-07T07:00:00Z,1e-10,1e-10
2022-01-07T08:00:00Z,6.54597,1e-10
2022-01-07T09:00:00Z,130.79306,1e-10
2022-01-07T10:00:00Z,320.29437,1e-10
2022-01-07T11:00:00Z,484.73444,1e-10
2022-01-07T12:00:00Z,598.00836,1e-10
2022-01-07T13:00:00Z,647.2929,1e-10
2022-01-07T14:00:00Z,627.4336,1e-10
2022-01-07T15:00:00Z,541.0235,1e-10
2022-01-07T16:00:00Z,399.6367,1e-10
2022-01-07T17:00:00Z,218.56296,1e-10
2022-01-07T18:00:00Z,44.7941,1e-10
2022-01-07T19:00:00Z,1e-10,1e-10
2022-01-07T20:00:00Z,1e-10,1e-10
2022-01-07T21:00:00Z,1e-10,1e-10
2022-01-07T22:00:00Z,1e-10,1e-10
2022-01-07T23:00:00Z,1e-10,1e-10
